FeatureIndex,Name,Synonyms,CAS Number,Smiles,Binding probability
HY-Q04888,"1-(2-{[5-(3-ethyl-1,2,4-oxadiazol-5-yl)pyridin-2-yl]sulfanyl}acetyl)piperidine-4-carboxamide",,,N1C(CC)=NOC=1C1=CC=C(N=C1)SCC(=O)N1CCC(CC1)C(N)=O,0.999989
HY-Q09924,"N-(3-{3-[1-(propan-2-yl)-1H-1,3-benzodiazol-6-yl]-1,2,4-oxadiazol-5-yl}phenyl)acetamide",,,N1=C(C2C=CC=C(C=2)NC(C)=O)ON=C1C1=CC=C2N=CN(C(C)C)C2=C1,1.0
HY-Q57011,HY-Q57011,,,O=C(NC1=CC=CC=C1)N[C@H]1CCN(C(=O)C2=CC3=C(C=CO3)N=C2)C1,0.999975
HY-100398,PF-04979064,,1220699-06-8,O=C(N1C2CCN(C([C@@H](O)C)=O)CC2)N(C)C3=C1C4=NC(C5=CC=C(C)N=C5)=CC=C4N=C3,1.0
HY-Q11001,"N-(3-{3-[3-(1H-pyrazol-5-yl)phenyl]-1,2,4-oxadiazol-5-yl}phenyl)acetamide",,,N1=C(C2C=CC=C(C=2)NC(C)=O)ON=C1C1=CC=CC(=C1)C1=CC=NN1,1.0
HY-Q09902,"5-[5-(2H-1,3-benzodioxol-5-yl)-1,2,4-oxadiazol-3-yl]-2-ethyl-1,3-benzoxazole",,,N1=C(C2=CC=C3OCOC3=C2)ON=C1C1=CC=C2OC(CC)=NC2=C1,0.999964
HY-122586,BRD6989,,642008-81-9,N#CC1=C(C2=CC=CN=C2)C3=C(N=C1N)CCC(C)C3,1.0
HY-144634,DDO-7263,,2254004-96-9,CC1=NC=C(C2=NOC(C3=CC(F)=C(C=C3)F)=N2)C=C1,0.999999
HY-137458A,Vevorisertib (trihydrochloride),ARQ 751 (trihydrochloride),1416775-08-0,NC1=C(C=CC=N1)C2=NC3=CC=C(C4=CC(N(CC5)CCC5N(C)C(C)=O)=CC=C4)N=C3N2C6=CC=C(C7(CCC7)N)C=C6.[H]Cl.[H]Cl.[H]Cl,0.999719
HY-B1048,Pasiniazid,Paraniazide; Pasiniazide; Isonicotinic acid hydrazide p-aminosalicylate,2066-89-9,O=C(C1=CC=NC=C1)NN.O=C(O)C2=CC=C(N)C=C2O,0.856272
